rep,year,week,land_size,maxK,lambda1,lambda2,starting_cases,a_mort,j_mort,total_pop,n_infected,n_symptomatic,actual_sero,elim
1,3,40,60,25,0.001,0,10,0.005,0.025,7250,0,0,0.15986206896551725,True
1,3,41,60,25,0.001,0,10,0.005,0.025,7478,0,0,0.18173308371222252,True
1,3,42,60,25,0.001,0,10,0.005,0.025,7419,0,0,0.1842566383609651,True
1,3,43,60,25,0.001,0,10,0.005,0.025,7386,0,0,0.1899539669645275,True
1,3,44,60,25,0.001,0,10,0.005,0.025,7362,0,0,0.19627818527574029,True
1,3,45,60,25,0.001,0,10,0.005,0.025,7274,0,0,0.19837778388781963,True
1,3,46,60,25,0.001,0,10,0.005,0.025,7018,0,0,0.19136506127101738,True
1,3,47,60,25,0.001,0,10,0.005,0.025,6943,0,0,0.19213596428057036,True
1,3,48,60,25,0.001,0,10,0.005,0.025,6887,0,0,0.19573108755626542,True
1,3,49,60,25,0.001,0,10,0.005,0.025,6828,0,0,0.19976567076742824,True
1,3,50,60,25,0.001,0,10,0.005,0.025,6761,0,0,0.20352018932110635,True
1,3,51,60,25,0.001,0,10,0.005,0.025,6679,0,0,0.209163048360533,True
1,3,52,60,25,0.001,0,10,0.005,0.025,6620,0,0,0.2095166163141994,True
1,4,1,60,25,0.001,0,10,0.005,0.025,6536,0,0,0.21282129742962055,True
1,4,2,60,25,0.001,0,10,0.005,0.025,6463,0,0,0.21615348909175305,True
1,4,3,60,25,0.001,0,10,0.005,0.025,6395,0,0,0.21939014855355746,True
1,4,4,60,25,0.001,0,10,0.005,0.025,6281,0,0,0.22321286419359976,True
1,4,5,60,25,0.001,0,10,0.005,0.025,6201,0,0,0.22496371552975328,True
1,4,6,60,25,0.001,0,10,0.005,0.025,6103,0,0,0.22808454858266428,True
1,4,7,60,25,0.001,0,10,0.005,0.025,6007,0,0,0.22906608956217747,True
1,4,8,60,25,0.001,0,10,0.005,0.025,5929,0,0,0.22954967110811267,True
1,4,9,60,25,0.001,0,10,0.005,0.025,5870,0,0,0.23339011925042588,True
1,4,10,60,25,0.001,0,10,0.005,0.025,5781,0,0,0.23750216225566512,True
1,4,11,60,25,0.001,0,10,0.005,0.025,5730,0,0,0.23979057591623038,True
1,4,12,60,25,0.001,0,10,0.005,0.025,5671,0,0,0.24193263974607654,True
1,4,13,60,25,0.001,0,10,0.005,0.025,5598,0,0,0.24455162558056448,True
1,4,14,60,25,0.001,0,10,0.005,0.025,5526,0,0,0.24791892870068766,True
1,4,15,60,25,0.001,0,10,0.005,0.025,5461,0,0,0.24940487090276506,True
1,4,16,60,25,0.001,0,10,0.005,0.025,5383,0,0,0.25301876277168867,True
1,4,17,60,25,0.001,0,10,0.005,0.025,5319,0,0,0.2568151908253431,True
1,4,18,60,25,0.001,0,10,0.005,0.025,11919,0,0,0.1142713314875409,True
1,4,19,60,25,0.001,0,10,0.005,0.025,11731,0,0,0.11695507629358111,True
1,4,20,60,25,0.001,0,10,0.005,0.025,11500,0,0,0.12043478260869565,True
1,4,21,60,25,0.001,0,10,0.005,0.025,11135,0,0,0.12528064660978896,True
1,4,22,60,25,0.001,0,10,0.005,0.025,10897,0,0,0.12774158025144536,True
1,4,23,60,25,0.001,0,10,0.005,0.025,10606,0,0,0.13115217801244577,True
1,4,24,60,25,0.001,0,10,0.005,0.025,10352,0,0,0.1346599690880989,True
1,4,25,60,25,0.001,0,10,0.005,0.025,10119,0,0,0.13874888823006226,True
1,4,26,60,25,0.001,0,10,0.005,0.025,9867,0,0,0.1420897942637073,True
1,4,27,60,25,0.001,0,10,0.005,0.025,9567,0,0,0.14487300094073377,True
1,4,28,60,25,0.001,0,10,0.005,0.025,9332,0,0,0.1477711101585941,True
1,4,29,60,25,0.001,0,10,0.005,0.025,9131,0,0,0.1503668820501588,True
1,4,30,60,25,0.001,0,10,0.005,0.025,8902,0,0,0.15356099752864524,True
1,4,31,60,25,0.001,0,10,0.005,0.025,8673,0,0,0.15726968753603135,True
1,4,32,60,25,0.001,0,10,0.005,0.025,8486,0,0,0.1609710110770681,True
1,4,33,60,25,0.001,0,10,0.005,0.025,8304,0,0,0.16317437379576108,True
1,4,34,60,25,0.001,0,10,0.005,0.025,8136,0,0,0.16592920353982302,True
1,4,35,60,25,0.001,0,10,0.005,0.025,7941,0,0,0.16811484699659993,True
1,4,36,60,25,0.001,0,10,0.005,0.025,7779,0,0,0.17187299138706774,True
1,4,37,60,25,0.001,0,10,0.005,0.025,7601,0,0,0.17668727798973818,True
1,4,38,60,25,0.001,0,10,0.005,0.025,7500,0,0,0.17853333333333332,True
1,4,39,60,25,0.001,0,10,0.005,0.025,7375,0,0,0.18128813559322035,True
1,4,40,60,25,0.001,0,10,0.005,0.025,7279,0,0,0.18519027338920183,True
1,4,41,60,25,0.001,0,10,0.005,0.025,7419,0,0,0.20986655883542257,True
1,4,42,60,25,0.001,0,10,0.005,0.025,7328,0,0,0.21451965065502182,True
1,4,43,60,25,0.001,0,10,0.005,0.025,7254,0,0,0.2178108629721533,True
1,4,44,60,25,0.001,0,10,0.005,0.025,7206,0,0,0.22106577851790174,True
1,4,45,60,25,0.001,0,10,0.005,0.025,7192,0,0,0.22552836484983316,True
1,4,46,60,25,0.001,0,10,0.005,0.025,6964,0,0,0.21855255600229753,True
1,4,47,60,25,0.001,0,10,0.005,0.025,6902,0,0,0.2197913648217908,True
1,4,48,60,25,0.001,0,10,0.005,0.025,6823,0,0,0.21984464311886268,True
1,4,49,60,25,0.001,0,10,0.005,0.025,6754,0,0,0.22223867337873854,True
1,4,50,60,25,0.001,0,10,0.005,0.025,6676,0,0,0.2237866986219293,True
1,4,51,60,25,0.001,0,10,0.005,0.025,6625,0,0,0.22732075471698113,True
1,4,52,60,25,0.001,0,10,0.005,0.025,6538,0,0,0.2288161517283573,True
1,5,1,60,25,0.001,0,10,0.005,0.025,6477,0,0,0.23205187586845763,True
1,5,2,60,25,0.001,0,10,0.005,0.025,6400,0,0,0.23578125,True
1,5,3,60,25,0.001,0,10,0.005,0.025,6350,0,0,0.23669291338582676,True
1,5,4,60,25,0.001,0,10,0.005,0.025,6258,0,0,0.23793544263342922,True
1,5,5,60,25,0.001,0,10,0.005,0.025,6171,0,0,0.23983146977799386,True
1,5,6,60,25,0.001,0,10,0.005,0.025,6117,0,0,0.24194866764753964,True
1,5,7,60,25,0.001,0,10,0.005,0.025,6051,0,0,0.24673607668154024,True
1,5,8,60,25,0.001,0,10,0.005,0.025,5982,0,0,0.2480775660314276,True
1,5,9,60,25,0.001,0,10,0.005,0.025,5874,0,0,0.24855294518215867,True
1,5,10,60,25,0.001,0,10,0.005,0.025,5818,0,0,0.2511172224132004,True
1,5,11,60,25,0.001,0,10,0.005,0.025,5745,0,0,0.25274151436031334,True
1,5,12,60,25,0.001,0,10,0.005,0.025,5691,0,0,0.25443683008258655,True
1,5,13,60,25,0.001,0,10,0.005,0.025,5635,0,0,0.25785270629991125,True
1,5,14,60,25,0.001,0,10,0.005,0.025,5581,0,0,0.2608851460311772,True
1,5,15,60,25,0.001,0,10,0.005,0.025,5495,0,0,0.26333030027297544,True
1,5,16,60,25,0.001,0,10,0.005,0.025,5434,0,0,0.2651821862348178,True
1,5,17,60,25,0.001,0,10,0.005,0.025,5381,0,0,0.2670507340643003,True
1,5,18,60,25,0.001,0,10,0.005,0.025,12270,0,0,0.11768541157294214,True
1,5,19,60,25,0.001,0,10,0.005,0.025,12022,0,0,0.12061221094659791,True
1,5,20,60,25,0.001,0,10,0.005,0.025,11769,0,0,0.12388478205455009,True
1,5,21,60,25,0.001,0,10,0.005,0.025,11409,0,0,0.12805679726531685,True
1,5,22,60,25,0.001,0,10,0.005,0.025,11066,0,0,0.13112235676848003,True
1,5,23,60,25,0.001,0,10,0.005,0.025,10818,0,0,0.1349602514327972,True
1,5,24,60,25,0.001,0,10,0.005,0.025,10547,0,0,0.13852280269270884,True
1,5,25,60,25,0.001,0,10,0.005,0.025,10299,0,0,0.1409845616079231,True
1,5,26,60,25,0.001,0,10,0.005,0.025,10097,0,0,0.144102208576805,True
1,5,27,60,25,0.001,0,10,0.005,0.025,9865,0,0,0.14668018246325393,True
1,5,28,60,25,0.001,0,10,0.005,0.025,9633,0,0,0.15208138689920067,True
1,5,29,60,25,0.001,0,10,0.005,0.025,9443,0,0,0.15545907021073813,True
1,5,30,60,25,0.001,0,10,0.005,0.025,9218,0,0,0.1586027337817314,True
1,5,31,60,25,0.001,0,10,0.005,0.025,9022,0,0,0.16182664597650187,True
1,5,32,60,25,0.001,0,10,0.005,0.025,8820,0,0,0.16621315192743763,True
1,5,33,60,25,0.001,0,10,0.005,0.025,8640,0,0,0.1693287037037037,True
1,5,34,60,25,0.001,0,10,0.005,0.025,8458,0,0,0.17273587136438875,True
1,5,35,60,25,0.001,0,10,0.005,0.025,8254,0,0,0.17579355464017446,True
1,5,36,60,25,0.001,0,10,0.005,0.025,8112,0,0,0.1807199211045365,True
1,5,37,60,25,0.001,0,10,0.005,0.025,7939,0,0,0.1839022546920267,True
1,5,38,60,25,0.001,0,10,0.005,0.025,7814,0,0,0.18722805221397493,True
1,5,39,60,25,0.001,0,10,0.005,0.025,7690,0,0,0.1892067620286086,True
1,5,40,60,25,0.001,0,10,0.005,0.025,7587,0,0,0.19203901410307103,True
1,5,41,60,25,0.001,0,10,0.005,0.025,7750,0,0,0.21754838709677418,True
1,5,42,60,25,0.001,0,10,0.005,0.025,7619,0,0,0.22194513715710723,True
1,5,43,60,25,0.001,0,10,0.005,0.025,7551,0,0,0.22407628128724671,True
1,5,44,60,25,0.001,0,10,0.005,0.025,7473,0,0,0.2260136491368928,True
1,5,45,60,25,0.001,0,10,0.005,0.025,7435,0,0,0.2324142568930733,True
1,5,46,60,25,0.001,0,10,0.005,0.025,7197,0,0,0.22342642767819926,True
1,5,47,60,25,0.001,0,10,0.005,0.025,7136,0,0,0.22323430493273544,True
1,5,48,60,25,0.001,0,10,0.005,0.025,7065,0,0,0.22533616418966737,True
1,5,49,60,25,0.001,0,10,0.005,0.025,6972,0,0,0.2274813539873781,True
1,5,50,60,25,0.001,0,10,0.005,0.025,6868,0,0,0.22932440302853815,True
1,5,51,60,25,0.001,0,10,0.005,0.025,6818,0,0,0.23085948958638897,True
1,5,52,60,25,0.001,0,10,0.005,0.025,6728,0,0,0.23409631391200952,True
1,6,1,60,25,0.001,0,10,0.005,0.025,6651,0,0,0.23515260863028117,True
1,6,2,60,25,0.001,0,10,0.005,0.025,6576,0,0,0.23768248175182483,True
1,6,3,60,25,0.001,0,10,0.005,0.025,6510,0,0,0.23840245775729646,True
1,6,4,60,25,0.001,0,10,0.005,0.025,6417,0,0,0.24139005765934238,True
1,6,5,60,25,0.001,0,10,0.005,0.025,6331,0,0,0.24372137103143263,True
1,6,6,60,25,0.001,0,10,0.005,0.025,6252,0,0,0.24744081893793987,True
1,6,7,60,25,0.001,0,10,0.005,0.025,6167,0,0,0.2506891519377331,True
1,6,8,60,25,0.001,0,10,0.005,0.025,6088,0,0,0.2519710906701708,True
1,6,9,60,25,0.001,0,10,0.005,0.025,6018,0,0,0.2540711199734131,True
1,6,10,60,25,0.001,0,10,0.005,0.025,5962,0,0,0.2572962093257296,True
1,6,11,60,25,0.001,0,10,0.005,0.025,5885,0,0,0.2594732370433305,True
1,6,12,60,25,0.001,0,10,0.005,0.025,5819,0,0,0.26224437188520366,True
1,6,13,60,25,0.001,0,10,0.005,0.025,5752,0,0,0.26477746870653684,True
1,6,14,60,25,0.001,0,10,0.005,0.025,5686,0,0,0.26679563841013015,True
1,6,15,60,25,0.001,0,10,0.005,0.025,5613,0,0,0.2695528238018885,True
1,6,16,60,25,0.001,0,10,0.005,0.025,5548,0,0,0.27108868060562363,True
1,6,17,60,25,0.001,0,10,0.005,0.025,5465,0,0,0.27319304666056726,True
1,6,18,60,25,0.001,0,10,0.005,0.025,12361,0,0,0.12126850578432166,True
1,6,19,60,25,0.001,0,10,0.005,0.025,12110,0,0,0.1245251857968621,True
1,6,20,60,25,0.001,0,10,0.005,0.025,11794,0,0,0.12845514668475497,True
1,6,21,60,25,0.001,0,10,0.005,0.025,11405,0,0,0.1318719859710653,True
1,6,22,60,25,0.001,0,10,0.005,0.025,11095,0,0,0.13618747183415952,True
1,6,23,60,25,0.001,0,10,0.005,0.025,10875,0,0,0.13829885057471264,True
1,6,24,60,25,0.001,0,10,0.005,0.025,10621,0,0,0.1417945579512287,True
1,6,25,60,25,0.001,0,10,0.005,0.025,10352,0,0,0.14605873261205565,True
1,6,26,60,25,0.001,0,10,0.005,0.025,10097,0,0,0.15004456769337426,True
1,6,27,60,25,0.001,0,10,0.005,0.025,9818,0,0,0.1532898757384396,True
1,6,28,60,25,0.001,0,10,0.005,0.025,9585,0,0,0.1560772039645279,True
1,6,29,60,25,0.001,0,10,0.005,0.025,9306,0,0,0.16054158607350097,True
1,6,30,60,25,0.001,0,10,0.005,0.025,9047,0,0,0.1651376146788991,True
1,6,31,60,25,0.001,0,10,0.005,0.025,8840,0,0,0.1671945701357466,True
