year,week,id,x,y,inc,inf
5,20,1233,1,20,1,1
5,20,1401,1,20,1,0
5,20,1443,5,16,1,0
5,20,1887,1,20,1,0
5,21,1195,2,19,1,0
5,21,1401,2,19,1,1
5,21,1443,5,16,1,1
5,21,1887,2,19,1,1
5,22,59,1,20,1,0
5,22,285,1,20,1,0
5,22,336,1,20,1,0
5,22,681,1,20,1,0
5,22,1195,3,18,1,1
5,22,1401,1,20,1,1
5,22,1432,1,20,1,0
5,22,1443,4,17,1,1
5,22,1504,4,17,1,0
5,22,1585,1,20,1,0
5,22,1697,4,17,1,0
5,22,1715,1,20,1,0
5,22,1738,1,20,1,0
5,22,1830,1,20,1,0
5,22,1831,1,20,1,0
5,22,1887,1,20,1,1
5,22,1908,1,20,1,0
5,23,59,1,20,1,0
5,23,285,1,20,1,0
5,23,336,1,20,1,0
5,23,681,1,20,1,0
5,23,1432,1,20,1,0
5,23,1504,4,17,1,0
5,23,1585,1,20,1,0
5,23,1697,5,16,1,0
5,23,1715,1,20,1,0
5,23,1738,1,20,1,0
5,23,1830,1,20,1,0
5,23,1831,1,20,1,0
5,23,1908,1,20,1,0
5,24,59,1,20,1,1
5,24,285,1,20,1,0
5,24,336,1,20,1,0
5,24,681,1,20,1,0
5,24,1432,1,20,1,0
5,24,1504,5,16,1,1
5,24,1585,1,20,1,1
5,24,1697,4,17,1,1
5,24,1715,1,20,1,0
5,24,1738,1,20,1,1
5,24,1830,1,20,1,0
5,24,1831,1,20,1,1
5,24,1908,1,20,1,0
5,25,59,1,20,1,1
5,25,285,1,20,1,0
5,25,331,5,16,1,0
5,25,336,1,20,1,0
5,25,681,1,20,1,0
5,25,1170,5,16,1,0
5,25,1432,1,20,1,1
5,25,1504,4,17,1,1
5,25,1539,5,16,1,0
5,25,1585,1,20,1,1
5,25,1697,5,16,1,1
5,25,1715,1,20,1,0
5,25,1738,1,20,1,1
5,25,1788,1,20,1,0
5,25,1831,1,20,1,1
5,25,1908,1,20,1,0
5,26,285,1,20,1,0
5,26,331,4,17,1,0
5,26,336,1,20,1,0
5,26,425,1,20,1,0
5,26,601,1,20,1,0
5,26,681,1,20,1,1
5,26,1413,1,20,1,0
5,26,1432,1,20,1,1
5,26,1539,4,17,1,0
5,26,1551,1,20,1,0
5,26,1635,1,20,1,0
5,26,1715,2,19,1,1
5,26,1788,1,20,1,0
5,26,1908,1,20,1,1
5,27,285,1,20,1,0
5,27,331,5,16,1,0
5,27,336,1,20,1,0
5,27,425,1,20,1,0
5,27,601,1,20,1,0
5,27,681,1,20,1,1
5,27,829,1,20,1,0
5,27,1413,1,20,1,0
5,27,1539,5,16,1,1
5,27,1551,1,20,1,0
5,27,1635,1,20,1,0
5,27,1668,1,20,1,0
5,27,1712,1,20,1,0
5,27,1715,3,18,1,1
5,27,1908,1,20,1,1
5,28,285,1,20,1,0
5,28,331,4,17,1,1
5,28,336,1,20,1,1
5,28,425,1,20,1,0
5,28,601,1,20,1,0
5,28,829,1,20,1,0
5,28,1413,2,19,1,0
5,28,1539,4,17,1,1
5,28,1551,1,20,1,0
5,28,1635,1,20,1,1
5,28,1668,2,19,1,0
5,28,1689,4,17,1,0
5,28,1712,1,20,1,0
5,29,285,2,19,1,0
5,29,331,5,16,1,1
5,29,336,1,20,1,1
5,29,425,1,20,1,0
5,29,601,1,20,1,0
5,29,829,1,20,1,0
