rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,3,25,0.4,propagule,0.1,0,0.0,1702,7,0
1,3,26,0.4,propagule,0.1,0,0.0,1667,7,1
1,3,27,0.4,propagule,0.1,0,0.0,1641,7,2
1,3,28,0.4,propagule,0.1,0,0.0,1626,7,5
1,3,29,0.4,propagule,0.1,0,0.0,1602,7,5
1,3,30,0.4,propagule,0.1,0,0.0,1559,6,4
1,3,31,0.4,propagule,0.1,0,0.0,1551,3,1
1,3,32,0.4,propagule,0.1,0,0.0,1537,2,1
1,3,33,0.4,propagule,0.1,0,0.0,1521,2,2
1,3,34,0.4,propagule,0.1,0,0.0,1467,2,2
1,3,35,0.4,propagule,0.1,0,0.0,1461,2,1
1,3,36,0.4,propagule,0.1,0,0.0,1438,2,1
1,3,37,0.4,propagule,0.1,0,0.0,1418,4,1
1,3,38,0.4,propagule,0.1,0,0.0,1405,4,1
1,3,39,0.4,propagule,0.1,0,0.0,1386,3,1
1,3,40,0.4,propagule,0.1,0,0.0,1373,3,1
1,3,41,0.4,propagule,0.1,0,0.0,1356,3,2
1,3,42,0.4,propagule,0.1,0,0.0,1344,2,1
1,3,43,0.4,propagule,0.1,0,0.0,1295,3,2
1,3,44,0.4,propagule,0.1,0,0.0,1268,2,2
1,3,45,0.4,propagule,0.1,0,0.0,1229,2,2
1,3,46,0.4,propagule,0.1,0,0.0,1220,1,1
1,3,47,0.4,propagule,0.1,0,0.0,1197,0,0
1,3,48,0.4,propagule,0.1,0,0.0,1190,0,0
1,3,49,0.4,propagule,0.1,0,0.0,1138,0,0
1,3,50,0.4,propagule,0.1,0,0.0,1117,0,0
1,3,51,0.4,propagule,0.1,0,0.0,1105,0,0
1,3,52,0.4,propagule,0.1,0,0.0,1096,0,0
1,4,1,0.4,propagule,0.1,0,0.0,1083,0,0
1,4,2,0.4,propagule,0.1,0,0.0,1069,0,0
1,4,3,0.4,propagule,0.1,0,0.0,1068,0,0
1,4,4,0.4,propagule,0.1,0,0.0,1061,0,0
1,4,5,0.4,propagule,0.1,0,0.0,1053,0,0
1,4,6,0.4,propagule,0.1,0,0.0,1056,0,0
1,4,7,0.4,propagule,0.1,0,0.0,1027,0,0
1,4,8,0.4,propagule,0.1,0,0.0,1010,0,0
