rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,3,43,0.4,wave,0.1,1,0.03805555555555556,1272,0,0
1,3,44,0.4,wave,0.1,1,0.03805555555555556,1246,0,0
1,3,45,0.4,wave,0.1,1,0.03805555555555556,1240,0,0
1,3,46,0.4,wave,0.1,1,0.03805555555555556,1198,0,0
1,3,47,0.4,wave,0.1,1,0.03805555555555556,1202,0,0
1,3,48,0.4,wave,0.1,1,0.03805555555555556,1182,0,0
1,3,49,0.4,wave,0.1,1,0.03805555555555556,1183,0,0
1,3,50,0.4,wave,0.1,1,0.03805555555555556,1160,0,0
1,3,51,0.4,wave,0.1,1,0.03805555555555556,1168,0,0
1,3,52,0.4,wave,0.1,1,0.03805555555555556,1142,0,0
1,4,1,0.4,wave,0.1,1,0.03805555555555556,1144,0,0
1,4,2,0.4,wave,0.1,1,0.03805555555555556,1125,0,0
1,4,3,0.4,wave,0.1,1,0.03805555555555556,1129,0,0
1,4,4,0.4,wave,0.1,1,0.03805555555555556,1110,0,0
1,4,5,0.4,wave,0.1,1,0.03805555555555556,1117,0,0
1,4,6,0.4,wave,0.1,1,0.03805555555555556,1095,0,0
1,4,7,0.4,wave,0.1,1,0.03805555555555556,1104,0,0
1,4,8,0.4,wave,0.1,1,0.03805555555555556,1081,0,0
1,4,9,0.4,wave,0.1,1,0.03805555555555556,1074,0,0
1,4,10,0.4,wave,0.1,1,0.03805555555555556,1056,0,0
1,4,11,0.4,wave,0.1,1,0.03805555555555556,1054,0,0
1,4,12,0.4,wave,0.1,1,0.03805555555555556,1031,0,0
1,4,13,0.4,wave,0.1,1,0.03805555555555556,1042,0,0
1,4,14,0.4,wave,0.1,1,0.03805555555555556,1026,0,0
1,4,15,0.4,wave,0.1,1,0.03805555555555556,1034,0,0
1,4,16,0.4,wave,0.1,1,0.03805555555555556,1013,0,0
1,4,17,0.4,wave,0.1,1,0.03805555555555556,1024,0,0
1,4,18,0.4,wave,0.1,1,0.03805555555555556,1010,0,0
1,4,19,0.4,wave,0.1,1,0.03805555555555556,1019,0,0
1,4,20,0.4,wave,0.1,1,0.03805555555555556,1451,0,0
1,4,21,0.4,wave,0.1,1,0.03805555555555556,1443,0,0
1,4,22,0.4,wave,0.1,1,0.03805555555555556,1374,0,0
1,4,23,0.4,wave,0.1,1,0.03805555555555556,1390,0,0
1,4,24,0.4,wave,0.1,1,0.03805555555555556,1350,0,0
1,4,25,0.4,wave,0.1,1,0.03805555555555556,1332,0,0
1,4,26,0.4,wave,0.1,1,0.03805555555555556,1312,0,0
1,4,27,0.4,wave,0.1,1,0.03805555555555556,1320,0,0
1,4,28,0.4,wave,0.1,1,0.03805555555555556,1291,0,0
1,4,29,0.4,wave,0.1,1,0.03805555555555556,1293,0,0
1,4,30,0.4,wave,0.1,1,0.03805555555555556,1240,0,0
1,4,31,0.4,wave,0.1,1,0.03805555555555556,1255,0,0
1,4,32,0.4,wave,0.1,1,0.03805555555555556,1213,0,0
1,4,33,0.4,wave,0.1,1,0.03805555555555556,1219,0,0
1,4,34,0.4,wave,0.1,1,0.03805555555555556,1180,0,0
1,4,35,0.4,wave,0.1,1,0.03805555555555556,1204,0,0
1,4,36,0.4,wave,0.1,1,0.03805555555555556,1162,0,0
1,4,37,0.4,wave,0.1,1,0.03805555555555556,1153,0,0
1,4,38,0.4,wave,0.1,1,0.03805555555555556,1131,0,0
1,4,39,0.4,wave,0.1,1,0.03805555555555556,1118,0,0
1,4,40,0.4,wave,0.1,1,0.03805555555555556,1100,0,0
1,4,41,0.4,wave,0.1,1,0.03805555555555556,1082,0,0
1,4,42,0.4,wave,0.1,1,0.03805555555555556,1055,0,0
1,4,43,0.4,wave,0.1,1,0.03805555555555556,1048,0,0
1,4,44,0.4,wave,0.1,1,0.03805555555555556,1022,0,0
1,4,45,0.4,wave,0.1,1,0.03805555555555556,1031,0,0
1,4,46,0.4,wave,0.1,1,0.03805555555555556,1006,0,0
1,4,47,0.4,wave,0.1,1,0.03805555555555556,1012,0,0
1,4,48,0.4,wave,0.1,1,0.03805555555555556,985,0,0
1,4,49,0.4,wave,0.1,1,0.03805555555555556,978,0,0
1,4,50,0.4,wave,0.1,1,0.03805555555555556,947,0,0
1,4,51,0.4,wave,0.1,1,0.03805555555555556,952,0,0
1,4,52,0.4,wave,0.1,1,0.03805555555555556,922,0,0
1,5,1,0.4,wave,0.1,1,0.03805555555555556,923,0,0
1,5,2,0.4,wave,0.1,1,0.03805555555555556,907,0,0
1,5,3,0.4,wave,0.1,1,0.03805555555555556,905,0,0
1,5,4,0.4,wave,0.1,1,0.03805555555555556,891,0,0
1,5,5,0.4,wave,0.1,1,0.03805555555555556,891,0,0
1,5,6,0.4,wave,0.1,1,0.03805555555555556,876,0,0
1,5,7,0.4,wave,0.1,1,0.03805555555555556,880,0,0
1,5,8,0.4,wave,0.1,1,0.03805555555555556,871,0,0
1,5,9,0.4,wave,0.1,1,0.03805555555555556,850,0,0
